Designator,Footprint,Quantity,Value,LCSC Part #
AE1,CA-C03_SMD_Antenna,1,Antenna,
"C1, C2",0402,2,18pF,
"C10, C12, C13, C16, C6, C7",0402,6,0.1uF,
"C11, C19, C20, C3",0603,4,1uF,
"C14, C5",0603,2,10uF,
C4,0603,1,10nF,
"C8, C9",0603,2,1.6pF,
D1,D_SOD-923,1,ESD9B3.3ST5G,
D2,0603,1,LED,
"J1, J2",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07_Pin,
"L1, L2",0402,2,2.0nH,
P2,USB_C_Plug_Molex_105444,1,USB_C_Plug,
"R1, R13, R6",0603,3,0,
"R10, R11",0402,2,22,
R12,0402,1,220,
R2,0402,1,499,
"R3, R4, R5, R7",0603,4,10K,
"R8, R9",0402,2,5.1K,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,SOT-23-5,1,ME6211C33M5,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
