Designator,Mid X,Mid Y,Rotation,Layer
AE1,129.85,-86.0,0.0,top
C1,112.6,-85.28,270.0,top
C10,122.6,-68.8,0.0,top
C11,129.2,-66.78,90.0,top
C12,122.6,-69.8,0.0,top
C13,122.6,-70.8,0.0,top
C14,117.4,-69.875,270.0,top
C16,121.5,-81.02,90.0,top
C19,117.8,-62.375,270.0,top
C2,113.6,-85.3,270.0,top
C20,116.825,-65.6,0.0,top
C3,125.8,-69.775,270.0,top
C4,124.3,-69.775,270.0,top
C5,119.1,-69.825,270.0,top
C6,115.7,-68.8,0.0,top
C7,115.7,-70.8,0.0,top
C8,119.6,-84.575,90.0,top
C9,122.6,-84.575,90.0,top
D1,119.7,-67.2,180.0,top
D2,119.9125,-65.6,180.0,top
J1,110.7,-70.72,0.0,top
J2,131.7,-70.86,0.0,top
L1,115.7,-69.8,0.0,top
L2,121.1,-84.815,90.0,top
P2,123.02,-61.46,0.0,top
R1,115.5,-80.825,90.0,top
R10,126.32,-65.1,270.0,top
R11,125.32,-65.09,270.0,top
R12,122.32,-65.11,90.0,top
R13,124.9,-86.0,180.0,top
R2,111.6,-85.31,90.0,top
R3,129.2,-69.8,90.0,top
R4,118.5,-80.825,270.0,top
R5,117.0,-80.825,90.0,top
R6,120.0,-80.825,270.0,top
R7,120.9,-69.8,270.0,top
R8,123.32,-65.08,270.0,top
R9,124.32,-65.09,270.0,top
SW1,125.5,-78.0,180.0,top
SW2,126.3,-74.0,180.0,top
U1,114.8375,-62.35,0.0,top
U2,118.4,-75.2,180.0,top
Y1,116.3,-84.9,90.0,top
